SMILES,ID,target_class,MW,XLogP
CCOc1ccc(cc1)n2cc(c3cc(c(cc3c2=O)OC)OC)C(=O)Nc4cccc(c4)Cl,1467233,gpcr,478.92,4.52
CC(C(=O)NC1CCCCC1)N(CCCO)C(=O)c2ccc(c(c2)OC)OC,1505394,gpcr,392.49,3.02
c1cc(ccc1C(=O)C2CC2)OCCCN3CCN(CC3)C(=O)[C@@H](Cc4c[nH]cn4)N,61792,gpcr,425.52,1.65
CC(C)(Cc1nc2cc(ccc2n1Cc3ccc(cc3)SC)Cl)CC(=O)O,18000,gpcr,402.94,6.36
Cn1c2c(c(=O)[nH]c1=O)n(c(n2)N(CCO)Cc3ccccc3)CCCc4ccccc4,1511158,gpcr,433.5,1.32
c1ccnc(c1)NC(=O)COc2ccc3c(c2)c4c(o3)CCCC4,1369023,gpcr,322.36,3.65
C[C@@H](c1ccc(cc1)S(=O)(=O)c2ccc(cc2S(=O)(=O)c3ccc(cc3)OC)OC)NC(=O)Cc4ccccc4,361957,gpcr,579.68,5.24
C[C@H]1C2Cc3cc4c(cc3[C@]1(CCN2CC5CC5)C)[nH]c(n4)O,515257,gpcr,311.42,4.92
CN1CCN(CC1)c2cc(ccc2OC)NS(=O)(=O)c3cccc(c3)I,62538,gpcr,487.36,2.97
CCCC[C@@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]2CCCN2C(=O)[C@H](Cc3ccccc3)NC(=O)[C@H](Cc4c[nH]c5c4cccc5)NC(=O)[C@H](C)NC(=O)[C@H](C)Nc6ccc(c7c6non7)[N+](=O)[O-],386783,gpcr,963.05,3.61
CCN(CC)CCCCCc1c[nH]cn1,205511,gpcr,209.33,2.87
CCOC(=O)Nc1ccc(cc1)c2nc(cs2)c3c(n(c(=O)n(c3=O)C[C@@H](c4ccccc4)N)Cc5c(cccc5F)F)C,185143,gpcr,617.67,3.88
c1ccc2c(c1)C=C(N3C2=NCC3)c4ccc(cc4)CN5CCSCC5,420208,gpcr,361.5,3.78
CCN(CC)C(=O)c1c(c(c(s1)NC(=O)OCC)C(=O)OCC)C,1585118,gpcr,356.44,3.58
CN(C)c1cccc(c1)NC(=O)NC2C(=O)N(c3ccccc3N(C2=O)C4[C@H]5C[C@@H]6C[C@H](C5)C[C@H]4C6)c7ccccc7,120015,gpcr,563.69,5.84
c1ccc(cc1)C(C2CCCCC2)NC(=O)CC3=NCCN3.C(=O)(C(=O)O)O,1201952,gpcr,389.45,1.4
